"esp","nuit","st_deviation","n"
"pipkuh",2020-06-10 12:00:00,"11.4920239965951","32"
"pippip",2020-06-10 12:00:00,"11.8303632016798","148"
"pippyg",2020-06-10 12:00:00,"15.282999528758","108"
"myonat",2020-06-10 12:00:00,"13.6291878793361","10"
"eptser",2020-06-10 12:00:00,"18.6278752836823","10"
"hypsav",2020-06-10 12:00:00,"0.522855154144161","7"
"plemac",2020-06-10 12:00:00,"0","1"
"nyclei",2020-06-10 12:00:00,"10.9121563529677","46"
"myoema",2020-06-10 12:00:00,"7.84977935812702","4"
"minsch",2020-06-10 12:00:00,"16.3952078178164","4"
"pipnat",2020-06-10 12:00:00,"23.3183978192476","6"
"rhifer",2020-06-10 12:00:00,"0","1"
"myocap",2020-06-10 12:00:00,"0","1"
"nycnoc",2020-06-10 12:00:00,"0","1"
"tadten",2020-06-10 12:00:00,"0","1"
